,subject_session,gender,age,ageGroup,BAT_all_dprime,BAT_fast_dprime,BAT_med_dprime,BAT_slow_dprime,BAT_all_hits,BAT_fast_hits,BAT_med_hits,BAT_slow_hits,BAT_all_fa,BAT_fast_fa,BAT_med_fa,BAT_slow_fa,DurDisc_threshold,Anisochrony_tones_threshold,Anisochrony_music_threshold,Unpaced_spontaneous_right_CV_iti,Unpaced_spontaneous_final_right_CV_iti,Unpaced_fast_CV_iti,Unpaced_slow_CV_iti,Unpaced_spontaneous_right_mean_iti,Unpaced_spontaneous_final_right_mean_iti,Unpaced_fast_mean_iti,Unpaced_slow_mean_iti,Paced_metro_450_mean_CV_iti,Paced_metro_450_vecDirPct,Paced_metro_450_mean_vector_direction,Paced_metro_450_vecLenLogit,Paced_metro_600_mean_CV_iti,Paced_metro_600_vecDirPct,Paced_metro_600_mean_vector_direction,Paced_metro_600_vecLenLogit,Paced_metro_750_mean_CV_iti,Paced_metro_750_vecDirPct,Paced_metro_750_mean_vector_direction,Paced_metro_750_vecLenLogit,Paced_music_badine_mean_CV_iti,Paced_music_badine_vecDirPct,Paced_music_badine_mean_vector_direction,Paced_music_badine_vecLenLogit,Paced_music_ross_mean_CV_iti,Paced_music_ross_vecDirPct,Paced_music_ross_mean_vector_direction,Paced_music_ross_vecLenLogit,Adaptive_adaptation_index_acceleration,Adaptive_adaptation_index_deceleration,Adaptive_iso_600_CV_iti,Adaptive_minus_30_dprime2,Adaptive_minus_75_dprime2,Adaptive_plus_30_dprime2,Adaptive_plus_75_dprime2,SyncCont_metro_450_mean_CV_iti,SyncCont_metro_600_mean_CV_iti,SyncCont_metro_750_mean_CV_iti,SyncCont_metro_450_mean_mean_iti,SyncCont_metro_600_mean_mean_iti,SyncCont_metro_750_mean_mean_iti
0,A01_PRE,F,26,Age_22_29,4.37250688160966,3.48272877835648,3.48272877835648,3.48272877835648,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,23.14453125,7.19329833984375,9.69612121582033,0.0527769081180629,0.03810671806896,0.104778783752318,0.0408091370102069,584.041911764706,560.413461538462,244.928479381443,781.334677419355,0.0391920319581793,-3.42912068751144,-12.3448344750412,3.77527146476892,0.0368702198008698,-2.47097366562935,-8.89550519626565,3.94552727985509,0.0338529190794462,-2.29982920583362,-8.27938514100102,3.98803210026558,0.0582300024582616,1.66777952040569,6.00400627346048,2.84124563923953,0.0492429938904905,-1.99821837713769,-7.19358615769569,3.85233372965366,1.15788194444444,0.736830632716048,0.0431696054390406,3.34772925859631,3.94154732608769,2.72371481749506,3.94154732608769,0.0392808219781702,0.0324463723501944,0.0302214368653206,455.918981481481,602.790948275862,770.238425925926
1,A02_PRE,F,20,Age_18_21,4.37250688160966,3.48272877835648,3.48272877835648,3.48272877835648,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,30.21240234375,16.3888549804688,7.811279296875,0.0534271265011623,0.0451550823438717,0.06114905378768,0.0745874946264631,233.927743902439,611.357142857143,448.572115384615,1908.903125,0.0613660349385417,-10.213719656847,-36.7693907646493,2.93771776803494,0.0531283133200367,-14.6467744649782,-52.7283880739216,2.72154863189361,0.0371368400682608,-11.0764003046081,-39.8750410965893,3.32649539076023,0.0833577744172324,-4.94677579033861,-17.808392845219,0.139235863711556,0.0668222335342392,-24.9711488347345,-89.8961358050442,-0.0350434212228351,1.68356867283951,2.28741319444444,0.0938630116388424,1.50306710173949,3.94154732608769,1.15412213440928,3.94154732608769,0.0745645775113659,0.0682302287058394,0.105856557369131,453.419642857143,603.98,837.5825
2,A03_PRE,F,22,Age_22_29,1.87769692212693,1.35170223993066,1.63858719581375,2.47896575818321,93.75,93.75,87.5,100.0,33.3333333333333,50.0,25.0,25.0,32.7392578125,4.99261021614075,10.5616807937622,0.0592589268205948,0.135656065402549,0.0667362825901776,0.0906351461043764,743.035845588235,702.546006944444,426.460526315789,1674.0234375,0.0656359706531731,-11.6794371805901,-42.0459738501243,1.93456236538464,0.0796305249144066,-2.85302611584386,-10.2708940170379,2.63102877865066,0.0646754037913772,-6.11487538340244,-22.0135513802488,2.87225240837269,0.0686595170924385,-4.38806530562164,-15.7970351002379,2.9696427645873,0.0736173765478822,-8.367574182283,-30.1232670562188,2.43650267098686,1.23559027777778,0.625542534722222,0.0855189284997539,0.101142657793618,2.88856784947203,0.342976592938667,1.2885548349232,0.0804010192878487,0.0895249649325082,0.0694143854404055,420.461206896552,617.851790450928,771.200892857143
3,A04_PRE,F,22,Age_22_29,3.68878817743353,2.94492105795371,2.94492105795371,3.48272877835648,95.8333333333333,93.75,93.75,100.0,0.0,0.0,0.0,0.0,20.6680297851562,9.5601654052734,7.49404907226562,0.0478484433071534,0.0398732044633195,0.0623769855595178,0.0524606162976193,527.72400990099,559.176075268817,270.590131578947,1119.44494047619,0.0500053879301458,-1.19423194205256,-4.29923499138923,3.16445750101916,0.0373260553968005,-0.732301740423592,-2.63628626552493,3.04680462667714,0.0596647042539156,1.33127521478356,4.7925907732208,3.20932471177144,0.0503709139753758,2.47499974501618,8.90999908205826,3.40258169373005,0.0336360537146887,4.44605957836203,16.0058144821033,4.13103902865775,1.49789930555556,1.49016203703704,0.0460051070857604,1.15412213440928,3.94154732608769,2.02104157892356,3.94154732608769,0.0393372371776212,0.0361488039901487,0.0440164402433174,457.277529761905,605.8515625,789.84375
4,A05_PRE,F,23,Age_22_29,1.06473668246072,1.63858719581375,1.11540867582754,0.430203256788347,66.6666666666667,87.5,56.25,56.25,25.0,25.0,12.5,37.5,26.03759765625,18.819580078125,12.4008178710938,0.0549542761962933,0.0584727970833557,0.0674131604497354,0.0480715661873639,681.951013513514,814.884375,330.253289473684,2018.82291666667,0.0524521143553172,-12.2589684535003,-44.1322864326009,3.17015116845538,0.0623756276723105,-10.1437942362629,-36.5176592505465,2.88108102366818,0.0506793469790412,-0.695225254532708,-2.50281091631775,3.04375899368097,0.0805082569371355,-7.699329314765303,-27.71758553315505,-1.01246466143332,0.0938183544826464,-7.699329314765303,-27.71758553315505,-2.73950447100678,1.26318452380952,1.18233506944444,0.0548757805500887,1.50306710173949,3.94154732608769,1.33688699811714,2.79762451012281,0.0536363945612891,0.0570466712175558,0.0735384303274281,432.755387931034,544.308189655172,772.769427910053
5,A07_PRE,M,22,Age_22_29,2.13004080930969,1.41024788618216,2.01655296406567,2.85693152643513,89.5833333333333,81.25,87.5,100.0,16.6666666666667,25.0,12.5,12.5,41.63818359375,19.57763671875,22.968635559082,0.0850823172272539,0.0519848214157324,0.152176903776341,0.0789179436109332,512.39368556701,450.288254310345,275.275412087912,687.576198630137,0.0524600943073094,-0.479767331182086,-1.72716239225551,3.44911209606642,0.0455822089877706,-1.40114351846986,-5.04411666649149,2.56707695507428,0.0560262556699499,-1.21514170083009,-4.37451012298833,3.38946730255958,0.0374825630808823,3.05455445627156,10.9963960425776,4.26462811068042,0.049945615441173,2.45539834790763,8.83943405246747,1.89332829767123,1.4847583912037,0.337096354166667,0.0649015017821925,1.31897516638625,3.48238591696341,1.15412213440928,2.48080981408203,0.0464104051069518,0.0394274334401249,0.0450008570072141,423.222560036946,604.349176416256,715.96875
6,A08_PRE,M,18,Age_18_21,2.54555313350048,2.47896575818321,2.01655296406567,2.94492105795371,93.75,100.0,87.5,93.75,12.5,25.0,12.5,0.0,26.348876953125,6.69273376464844,8.47869873046875,0.0785703838365128,0.0675000486008055,0.0737495466782432,0.121201243224969,788.378073770492,722.663949275362,473.565217391304,978.386968085106,0.0855587953483962,-2.65318183051183,-9.55145458984259,2.49508047472448,0.060341350309959,-2.74580788732704,-9.88490839437736,3.02418937096241,0.0775538729921329,-2.70806698085414,-9.74904113107491,2.72512104362919,0.0632640414679293,-0.342443167708469,-1.23279540375049,2.93521878314572,0.0480272837909838,-1.3335397173012,-4.80074298228432,3.6579868303899,1.41942708333333,1.18428433641975,0.0993736476836831,0.904267343599568,2.00107090569308,0.425539387655195,1.40328209999773,0.087171944710144,0.0622325007122695,0.0793583893676093,419.391369047619,568.53125,687.918103448276
7,A09_PRE,M,25,Age_22_29,3.87353156557469,3.48272877835648,3.48272877835648,2.85693152643513,100.0,100.0,100.0,100.0,4.16666666666667,0.0,0.0,12.5,36.419677734375,11.608772277832,8.47869873046875,0.056751614028478,0.0532355837778618,0.0396937099245509,0.0409935061985322,495.682091346154,590.236918604651,204.092757936508,796.690732758621,0.0563143963264503,-12.8133718224206,-46.1281385607143,2.22038753505899,0.0576248094775865,-16.4187193248548,-59.1073895694772,0.841831723156791,0.0519830456199952,-3.45103325310711,-12.4237197111856,3.17288652770182,0.0313622779302898,-1.9965699941796,-7.18765197904657,4.37310435964147,0.0352209130053884,-0.459489118530933,-1.65416082671136,4.27319767052711,1.18130270337301,1.8091796875,0.0504030450959426,2.9987842912661,3.94154732608769,1.77813657551053,3.94154732608769,0.0501286926242764,0.042914588830093,0.0415711292811967,437.192887931035,612.90554728836,741.891203703704
8,A11_PRE,F,26,Age_22_29,2.99429255123724,2.22212303565524,2.41401090635543,2.94492105795371,83.3333333333333,75.0,81.25,93.75,0.0,0.0,0.0,0.0,35.5682373046875,16.3888549804688,17.9229927062988,0.0554377751778597,0.0557126672496505,0.0941102965752958,0.0407336388219492,957.796875,704.117647058824,227.153472222222,2708.41145833333,0.0607257898702715,-16.7924551685973,-60.4528386069503,2.08049459839726,0.0553288362771468,0.535796463418844,1.92886726830784,2.79997452691732,0.0599161388499743,-3.07737309254625,-11.0785431331665,2.99816059112017,0.0820525022155252,5.15574120112422,18.5606683240472,0.958520353371512,0.0765653816446602,7.5625138791465,27.2250499649274,-0.15493631542425,1.13196180555556,1.3689525462963,0.0609618335495987,1.15412213440928,3.94154732608769,2.02104157892356,3.94154732608769,0.0781207072203354,0.0558253702883088,0.0469105064331678,446.305803571429,619.055555555556,755.641243614304
9,A12_PRE,F,20,Age_18_21,0.566537596237155,0.299306910465667,0.134229037336669,1.26672847656737,56.25,62.5,43.75,62.5,33.3333333333333,50.0,37.5,12.5,58.09326171875,23.203125,11.766357421875,0.343057017294742,0.122666108715981,0.172707842982348,0.129289090216589,994.085365853659,896.740384615385,527.055706521739,1473.62268518519,0.108720045431576,-16.6172921490994,-59.82225173675785,-0.984420978418959,0.0761335515062457,-15.5854222772877,-56.1075201982357,1.01021353835835,0.0893910776828524,-17.6491620209111,-63.53698327528,0.120831418220544,0.0900889914516052,-16.6172921490994,-59.82225173675784,-1.81197274409723,0.137359612809738,-16.6172921490994,-59.82225173675784,0.114213136282836,0.767378472222221,0.309375,0.121827475548209,2.25092569650279,3.34772925859631,1.79176428737852,3.94154732608769,0.0654006050168074,0.0941835263794073,0.0887228002451748,545.720486111111,713.112339426877,739.648748342175
