"subject_session","gender","age","ageGroup","BAT_all_dprime","BAT_fast_dprime","BAT_med_dprime","BAT_slow_dprime","DurDisc_threshold","Anisochrony_tones_threshold","Anisochrony_music_threshold","Unpaced_spontaneous_right_CV_iti","Unpaced_spontaneous_right_mean_iti","Paced_metro_450_mean_CV_iti","Paced_metro_450_vecDirPct","Paced_metro_450_vecLenLogit","Paced_metro_600_mean_CV_iti","Paced_metro_600_vecDirPct","Paced_metro_600_vecLenLogit","Paced_metro_750_mean_CV_iti","Paced_metro_750_vecDirPct","Paced_metro_750_vecLenLogit","Paced_music_badine_mean_CV_iti","Paced_music_badine_vecDirPct","Paced_music_badine_vecLenLogit","Paced_music_ross_mean_CV_iti","Paced_music_ross_vecDirPct","Paced_music_ross_vecLenLogit"
"A01_POST","F",26,"Age_22_29",4.37250688160966,3.48272877835648,3.48272877835648,3.48272877835648,15.380859375,5.62671661376953,21.5347051620483,0.0382924604360939,549.550531914894,0.0443142840018646,-3.31051586797197,3.55285444213422,0.0437785503241451,0.00922462689233033,3.70289925927592,0.0371075760662272,0.906865818630589,3.84101754786324,0.0328896962612981,-1.5946413793802,3.99181125709058,0.0403687985920277,-2.80364385213506,3.5832365851552
"A03_POST","F",22,"Age_22_29",1.74199223662014,1.60729381327092,1.10300823539489,2.94492105795371,37.2299194335938,7.78656005859375,9.87050771713256,0.0708241099790804,575.934752747253,0.0655647738061527,-8.67296491019294,2.46373404064521,0.0639172293503123,-4.46981594158158,2.37930346162236,0.0961619883012892,-5.31512268861142,1.86026696452083,0.0618642753577005,-2.94104340503131,1.90563864102262,0.0841362894781391,-18.4474429561034,0.452546387249051
"A04_POST","F",22,"Age_22_29",3.68878817743353,2.64235021598702,3.48272877835648,3.48272877835648,30.3657531738281,7.92097091674807,8.28326225280762,0.0378521596693552,563.443484042553,0.0500855290310154,-1.64195794996822,3.09419533181753,0.0432445322084539,0.105385856607486,3.46100613642552,0.0564100027936857,-1.20692010804998,3.14943767082392,0.0473405274195744,6.42740770662631,3.87768176636615,0.0499593235041645,4.09334216084219,3.40898550328069
"A05_POST","F",23,"Age_22_29",0.726872065167202,0.231336290482602,1.04730772886227,0.967421566101701,45.5535888671875,14.5441818237305,23.4722900390625,0.0571081662336376,787.305443548387,0.0553314175506235,-14.407778298462,3.28511614194427,0.0480143384464965,-10.9114898243455,3.44085173046563,0.0410413997157257,-3.20514673251433,3.49720542100245,0.0562284899613375,NA,-1.74770819024702,0.0844044533886309,NA,-1.83962191113863
"A07_POST","M",22,"Age_22_29",1.97287451257165,1.63391838699317,1.94115803778044,2.01655296406567,NA,11.8130922317505,NA,0.0656017570430554,334.469696969697,0.0751245352582532,-0.945641159803497,2.93463598142075,0.0415487908110802,0.936435877443908,3.7918607186133,0.0481356098620101,-3.48251580832417,3.12153830438024,0.0431465182923486,2.44439991778562,3.71665684325761,0.0635706897173233,2.63325299494263,2.71466581715736
"A08_POST","M",18,"Age_18_21",2.61108067272333,1.63858719581375,2.94492105795371,2.94492105795371,56.89697265625,10.4150390625,NA,0.0659630359614964,462.941123188406,0.0638366603026575,-4.70250939941861,2.38964782951817,0.0603859835773604,0.247403689661075,3.05170755458763,0.0553069499784009,-1.56679924301223,2.63220695981316,0.0568388084461202,0.810878370031361,2.87833403207826,0.0435266540675491,0.302962443990894,3.50475394654797
"A09_POST","M",25,"Age_22_29",3.68878817743353,2.94492105795371,3.48272877835648,2.94492105795371,68.75,14.0528869628906,12.3225402832031,0.0509563053632469,496.730140186916,0.0394384976972448,-15.7470832369124,2.09983000986486,0.0532938990122093,-9.66265323567531,1.43034774906591,0.0462900314181336,-4.13463591199311,2.41602977378175,0.0354019025143079,1.14526094413051,4.50007936474962,0.035040587925458,5.60612424369611,4.01076889557928
"A11_POST","F",26,"Age_22_29",2.8453875183752,2.22212303565524,2.41401090635543,2.41401090635543,51.7333984375,21.851806640625,23.433837890625,0.0692358384924385,1286.88671875,0.0742060971218608,-8.82415238137636,2.5197486831331,0.061006355542714,0.203701943369754,2.67991877478116,0.0562491396873752,4.20380625528047,3.13767621641432,0.0645503112984807,9.2356481394795,1.11154051205466,0.0943239647341347,6.36109770153644,-0.620004320895151
"A12_POST","F",20,"Age_18_21",1.06473668246072,1.41024788618216,0.581523057528175,1.11540867582754,41.63818359375,21.5798950195312,9.30473327636719,0.0756489560923846,1026.94551282051,0.115156678955475,NA,-0.83150783572321,0.127333963613561,7.51469689450214,-0.259200338863045,0.114680749864253,1.67228986000331,0.230886290682899,0.487302795047905,NA,-0.178474099147227,0.144552309240521,NA,-1.17278799180324
"A13_POST","F",20,"Age_18_21",3.2684246320987,2.94492105795371,2.41401090635543,2.94492105795371,28.9031982421875,9.73320007324215,11.3492202758789,0.0405527511333392,549.44140625,0.0667581228109214,-4.92084058564503,2.92758058097424,0.0447013212900238,-0.102935464677857,3.16161697226897,0.0549982810963684,-0.21617672583329,3.25084212875969,0.0682201377333133,1.0495196848288,3.02661197285095,0.0759350911703234,NA,0.935519608660137
"A15_POST","F",24,"Age_22_29",3.16768612598851,2.41401090635543,2.94492105795371,2.64235021598702,21.9612121582031,11.7169189453125,3.8787841796875,0.0402141394533412,589.142959770115,0.0322047873143852,-6.97386533921978,2.6031461723701,0.0259441467664815,-3.55663533172608,4.15917578344248,0.0361555466897675,2.16155340959879,2.96150291513509,0.0287538975841718,1.10029184447636,4.4748807820443,0.0329020172199637,0.915325104294453,3.55442555222979
"A17_POST","M",24,"Age_22_29",2.47514018769963,1.74120592774889,2.22212303565524,2.05107074903555,32.171630859375,18.7124633789062,12.65625,0.0357048073731679,511.931490384615,0.0439201918310891,-5.68972323292047,3.0829976996203,0.0388126728342627,-0.908871998807028,2.83846589771343,0.0406044099383225,0.655742907627478,2.8837078880508,0.0406466080761202,5.22290249352425,3.73297743912653,0.0523100216168473,2.19306089549671,1.02782555973868
"A18_POST","M",19,"Age_18_21",3.87353156557469,2.85693152643513,3.48272877835648,3.48272877835648,17.3583984375,5.12924194335938,16.8461608886719,0.0274091916962221,715.98125,0.0451236972897353,-5.38868235988819,3.72649678484127,0.0407328003605586,-2.93781363694431,3.82939761686345,0.0311281479372262,-0.142077084173954,4.24045060611689,0.0476956659249948,1.80916754453328,3.85377577903609,0.0531224913815455,0.877141566385264,2.66782928337211
"A19_POST","M",18,"Age_18_21",3.60030953652243,2.47896575818321,3.48272877835648,3.48272877835648,24.6368408203125,6.328125,6.5093994140625,0.0500855092406522,547.212890625,0.0484666694621856,-10.7231909800423,2.2911076057847,0.0649705737382736,-13.0336648039531,2.17362907186458,0.0544687151199651,-5.07199253286594,3.11378255034472,0.0515363513294385,-10.4787636027864,3.01039068004305,NA,NA,NA
"A23_POST","F",20,"Age_18_21",1.33675636491062,0.737442907575617,1.4252734971142,1.59632578373389,40.283203125,20.76416015625,28.58642578125,0.0507640913577743,866.139254385965,0.0377714535592402,-1.57804378729101,3.32971053512156,0.0392798615301315,-1.77781434495087,3.20376707240961,0.0353528099282446,-3.90051756217839,3.75124382012637,0.0482896870558933,0.293991199193292,1.36827266635892,0.0448073297308152,-9.69179527081,1.35868596287802
"A24_POST","F",24,"Age_22_29",4.37250688160966,3.48272877835648,3.48272877835648,3.48272877835648,8.32901000976562,6.66955947875977,9.05960083007812,0.0319289679852516,687.853333333333,0.0414178012294721,-3.02873442106967,3.43442777571454,0.0333202655405984,-2.69211047033,3.53753198802364,0.037055811900601,0.028503535230305,3.77306092055973,0.0365968776790598,0.177603567437952,4.03597282225117,0.0284885957248907,-1.34035959153479,4.38892320747366
"A25_POST","F",22,"Age_22_29",3.68878817743353,2.64235021598702,3.48272877835648,3.48272877835648,27.227783203125,8.49105834960938,5.0794677734375,0.0402688341499709,574.063873626374,0.0414783871693087,-8.72994644422739,3.84644924460764,0.0339861544154241,-7.78422026282342,3.49765153574616,0.0440739241560314,-4.67330277710197,3.54511068290631,0.0379865153071149,-2.56448523932599,3.68388704449324,0.0391921274280939,-12.1072390623507,1.26248563814279
"A28_POST","M",26,"Age_22_29",3.15342229641185,2.94492105795371,2.85693152643513,2.85693152643513,23.6549377441406,6.00214004516602,7.55790710449219,0.03141165070933,638.210648148148,0.0604649571764933,-13.0350735760061,2.66270064758746,0.0408098546228809,-1.99766626940808,3.28063028920313,0.0397848432396174,-1.57820224276893,3.72923541587211,0.043404381052816,-0.496771812200372,3.54323587564613,NA,NA,NA
"A29_POST","F",20,"Age_18_21",2.21329354514519,1.78821365443408,2.22212303565524,2.05107074903555,32.464599609375,6.47335052490234,15.9439086914062,0.0461751727862032,712.901408450704,0.0587330011035239,-9.38937390779036,2.54139022273614,0.0509795956471589,NA,0.972015805902096,0.0603629021980985,-13.7583848454256,1.29000951147259,0.0675211650951227,9.66946233394858,0.238357997078975,0.0447917080536609,-3.416533860662,3.08971659386429
