subject_session,0,1,2,3,4
A01,-0.9382690024367943,-0.396815529714726,-0.6399595288750336,0.11859004721891242,-0.7883151288716572
A03,-0.8803705922216494,2.3022765775617566,-0.9994664953502302,-0.305742251959149,2.233433392761048
A04,-0.7819869320231405,-0.45097326552533445,-0.9621410205435716,0.24972384913756052,-0.16378284370190066
A05,1.0309418963518966,1.2675156881056404,0.24980610216594884,-0.9655941749012665,0.23495773373310413
A07,-0.3895270078478569,1.092749901852869,-0.9695926968698033,0.5204811299918121,-0.026117663431586724
A08,-0.9451654366324292,0.38342841609529676,-0.8297108719360804,0.06298331210008801,2.192393225496479
A09,-1.0487207774345366,-0.38168722656638243,1.760556731911219,0.17319468201626442,0.12162102868760094
A11,-0.25227097178789726,-0.6693305257156471,-1.0651938760639081,0.6724867516464303,1.1921876643561569
A12,1.2359162698236057,1.2706911984797875,0.9235589935585584,-2.1170684844742818,3.653016708914425
A13,-0.8774245376593526,-0.7417382535805594,0.2630376369690378,-0.07345612171032545,0.6532768594619629
A15,0.17300405635816302,-0.09102114441157971,-0.7752766038121932,-0.13639648144635608,-1.3972477241740178
A17,1.355574536804875,-0.770490270770637,-0.18780934027481694,0.7340960034603704,-0.5451838718858113
A18,-0.24990140587552845,-0.5103354708885244,0.3038536527292329,0.2834973911256624,-1.2738258406542737
A19,-0.7885705739703044,-0.9166530258305623,0.7292198378405945,-1.1838486516288187,0.41464872420907994
A23,0.33384968965226597,-0.06109061094378354,-0.19445925944771233,2.4706395057592245,0.06683152404195258
A24,-0.9767577130204446,-0.392891882690372,-0.581712830883915,0.3707311873480301,-0.6092994696445295
A25,-0.7426513046787795,0.011921270651545246,1.663354854493869,-0.6268595901400889,-0.779598228746428
A28,-0.9300192295994032,-0.5741038991551846,-0.8061844449684233,-0.9900059437185658,-0.47594105097191886
A29,1.6011923839209188,0.23048560148382702,1.141749640219283,1.0367112803507814,-0.35818792057525783
A30,-1.0782709339784236,-0.5554859053325207,-0.5721655660723244,0.6690226700048825,0.8870051158706111
A31,1.0585016863583465,-0.8626569807220225,0.5090293345022331,2.111683826171493,1.0506723688527888
A32,-0.6542463341348592,-0.996298677277127,0.27329522964160885,-2.555862465232731,-0.060182999615081556
A33,-0.73317438966443,3.930074033963044,-0.34573896017231404,-0.7565258685394233,0.7988167746517476
A34,1.000841308563949,-0.6255298389973196,-1.1592790917714322,0.4783966390683906,-0.6107251465761561
A35,1.032921429307296,1.6072242170290205,1.727087276150615,-3.0705603673966086,0.2587161785199328
A36,0.06787935760446495,-0.2487310539963007,-0.5137366770771382,-2.4029582824879796,0.2110213218301149
A37,-0.8706198300020154,-0.09970805279480222,-0.6671522327444712,-0.02788313953563437,-0.23240770098088603
A38,-1.0121917630245076,-0.10623753836630057,-0.04194853340146987,0.34391573960956767,-0.24163419197773628
A39,-1.1745409372319442,-0.30950524935018064,-0.2089757060157605,-0.09358186476207508,1.0470475278261304
A41,0.6631465546229678,-0.989825575681013,-0.059441169011466954,0.12229862090795257,1.047513937548013
A42,-0.3598050542387018,-0.7998408470214728,0.01292284406152408,-0.22275128233622582,0.5563571647675669
A43,-1.0902017054471256,1.0774528758446444,0.12436163067703782,1.708503347656869,0.9916495816650714
A44,-0.2651059371549316,0.1351012941297779,-0.5795063949798638,2.630362915609041,-0.1371775893465621
A45,-1.0242944981428015,-0.4076204020825458,-0.7574474364461563,0.3905972369961528,-0.29271536124777775
A46,-0.594007786311848,0.09463777640720128,0.5252107992426901,-0.9087520743867028,-0.8756288532018939
A47,-0.9990966434243824,-0.6591007322423892,0.04593058705003367,-0.5704238197047605,-0.12033631933379674
A48,-0.0020616489353891265,-0.2443824779303843,2.28650600146761,0.468101093327027,0.6386014076219069
A50,-0.04676839550734879,-0.27547007548958474,-0.2791722849406468,-0.48699379597350273,-0.5750864074129209
A51,-1.0335052398737625,-0.46824530324043767,-0.5282719070664081,0.2602092136694506,-0.16469692535365432
A52,-0.7994513230664128,1.0376357472985518,1.3484137599522927,-0.5466180617643068,0.723660151022609
A53,0.270624811437838,-1.2021507377206333,0.1561671502667725,-1.8532379611924905,1.035596472329105
A54,-0.889952129566387,-0.565967696103588,-0.2512291280511088,-0.09655658083429108,-0.15242789133531787
A55,1.0008522114758334,-0.7746651040924558,0.7143252981479096,-0.5105362784321839,0.7198730890315961
A56,-0.28599436491998587,-0.2882324679046302,-0.4107758251183186,-0.18531092669941895,0.11575926865948816
A58,-0.1638494028453914,-0.7822476035430067,1.6430839064780576,-0.06758661491078322,-0.8475843006293182
A62,-0.9738824140733384,-0.5836486002622576,0.06187471785769183,-0.27929122218368285,-0.37763968258018643
B02,-1.2517446263473153,0.09552057559721372,-0.7101493259982474,0.07822221272773133,1.6132285345958355
B03,-1.0397454822460288,-0.3814196463747743,-0.8299952869118439,0.577630251436205,-0.24888054309336205
B04,-0.6770633511944621,0.5905484931874541,0.7133520911956226,0.20917995505266007,-0.5918096040914644
B05,-0.4859257167156512,0.95292034614866,1.6575535264444006,0.48602183120671,-1.0519168427500043
B09,-0.8011497954767006,-0.49630556156080297,-0.9345262723093378,-0.5875314475746145,-0.6284334593757812
B12,-0.9372657317125241,0.3593840205657377,0.06991557576893553,0.4775519420107509,-0.7278910850361022
B13,1.7386459437353516,-0.6446601015022702,-0.26866384285777073,1.651477335736475,-0.9705463614413983
B15,0.10453213597801703,-0.869291096618756,-0.34761593923824985,-0.2783484935252409,0.7690996689135345
B21,2.0042735765162516,1.4436839427172625,1.104420801988325,0.09947871437303002,-1.7657707933391613
B24,-0.2517538239381384,-0.6245243099168235,-0.88791392451677,0.34525697709638625,0.4280026980680258
C01,2.020884840614392,3.244077025088049,-1.3005050581685433,-0.10838741090600035,1.122935888722722
C02,-0.6846372617409154,2.6171841125398188,0.9208181624558088,0.31072140674118354,-1.044617406180782
C03,-0.09236150605400695,-0.7542436413434794,0.3476232860933578,-0.38470288346306186,-0.38737035929380603
C06,2.0210748982061957,-1.610461926487425,2.482542795713878,-1.0621667998868902,0.6406044157065374
C07,-0.7962448565232831,0.468934606252595,-0.9105544797555014,-0.20948841693132314,-1.5104986841332035
C08,-0.9155673274854732,0.9183193500574087,-1.0315225487225614,0.6495959430645218,-0.8811722258366839
