label,BAT_all_dprime,BAT_fast_dprime,BAT_med_dprime,BAT_slow_dprime,BAT_all_hits,BAT_fast_hits,BAT_med_hits,BAT_slow_hits,BAT_all_fa,BAT_fast_fa,BAT_med_fa,BAT_slow_fa,DurDisc_threshold,Anisochrony_tones_threshold,Anisochrony_music_threshold,Unpaced_spontaneous_right_CV_iti,Unpaced_spontaneous_final_right_CV_iti,Unpaced_fast_CV_iti,Unpaced_slow_CV_iti,Unpaced_spontaneous_right_mean_iti,Unpaced_spontaneous_final_right_mean_iti,Unpaced_fast_mean_iti,Unpaced_slow_mean_iti,Paced_metro_450_mean_CV_iti,Paced_metro_450_vecDirPct,Paced_metro_450_mean_vector_direction,Paced_metro_450_vecLenLogit,Paced_metro_600_mean_CV_iti,Paced_metro_600_vecDirPct,Paced_metro_600_mean_vector_direction,Paced_metro_600_vecLenLogit,Paced_metro_750_mean_CV_iti,Paced_metro_750_vecDirPct,Paced_metro_750_mean_vector_direction,Paced_metro_750_vecLenLogit,Paced_music_badine_mean_CV_iti,Paced_music_badine_vecDirPct,Paced_music_badine_mean_vector_direction,Paced_music_badine_vecLenLogit,Paced_music_ross_mean_CV_iti,Paced_music_ross_vecDirPct,Paced_music_ross_mean_vector_direction,Paced_music_ross_vecLenLogit,Adaptive_adaptation_index_acceleration,Adaptive_adaptation_index_deceleration,Adaptive_iso_600_CV_iti,Adaptive_minus_30_dprime2,Adaptive_minus_75_dprime2,Adaptive_plus_30_dprime2,Adaptive_plus_75_dprime2,SyncCont_metro_450_mean_CV_iti,SyncCont_metro_600_mean_CV_iti,SyncCont_metro_750_mean_CV_iti,SyncCont_metro_450_mean_mean_iti,SyncCont_metro_600_mean_mean_iti,SyncCont_metro_750_mean_mean_iti
0,idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,loss,0.5053,0.618,0.4663,0.191,220.1808,257.402,298.7082,188.9863,96.0985,129.8706,54.6472,0.28,129.8337,17.3553,42.7704,0.0006,0.0004,0.0007,0.0142,32107.2957,7138.2636,26304.8758,153429.0104,0.0002,30.1626,463.1642,0.3184,0.0008,23.532,613.9637,0.3198,0.0013,8.988,235.684,0.3945,0.0004,21.3502,323.345,0.5651,0.0026,42.739,612.2101,1.2261,0.2167,0.1082,0.0006,0.7983,0.2341,0.5255,0.1391,0.0005,1.2953,0.0003,1376.6065,1616.9831,4150.274
2,p_loss,0.041,0.491,0.239,0.0,0.363,0.238,0.523,0.238,0.746,0.185,0.478,0.0,0.19,0.074,0.242,0.63,0.301,0.452,0.909,0.576,0.033,0.921,0.759,0.042,0.263,0.17,0.223,0.854,0.368,0.762,0.063,0.917,0.029,0.424,0.151,0.178,0.483,0.582,0.037,0.786,0.754,0.439,0.041,0.665,0.191,0.562,0.776,0.479,0.226,0.029,0.529,0.997,0.28,0.351,0.067,0.267
3,sig_loss,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
4,corr,0.7078,0.1742,0.4118,0.5779,0.4113,0.2382,0.265,0.437,0.3609,0.1432,0.3839,-inf,0.3361,0.5795,0.4413,0.4403,0.5261,0.4087,0.101,0.079,0.2703,0.0431,-0.0073,0.3631,0.5863,0.5935,0.5643,0.5212,0.2705,0.492,0.8657,0.3532,0.6175,0.7468,0.5987,0.2455,0.3909,0.3851,0.4883,0.5365,0.5163,0.3725,0.6506,0.1222,0.6234,0.4062,0.2853,0.3578,0.5134,0.5413,0.2942,-0.1886,0.3567,0.2135,0.3883,0.3726
5,p_corr,0.0,0.635,0.139,0.011,0.076,0.316,0.273,0.063,0.183,0.651,0.146,0.999,0.201,0.013,0.078,0.2,0.078,0.253,0.885,0.653,0.26,0.722,0.765,0.351,0.008,0.01,0.025,0.087,0.381,0.055,0.0,0.359,0.009,0.002,0.018,0.647,0.19,0.161,0.069,0.067,0.041,0.176,0.002,0.785,0.015,0.252,0.406,0.207,0.04,0.031,0.509,0.998,0.354,0.395,0.094,0.113
6,sig_corr,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
7,r2,0.3303,-0.0044,0.1625,0.3158,-0.1437,-0.028,-0.045,-0.1929,0.1141,-0.0058,0.1007,0.0,0.1,0.3175,0.1609,-0.3988,0.1354,-0.3028,-0.0876,-0.2624,-0.1195,-0.1827,-0.212,-0.2945,0.3247,0.3379,0.2948,-3.9976,-0.0121,0.2207,0.6025,-11.3681,0.3578,0.4463,0.3519,-1.2257,0.1264,0.0468,0.0933,0.2862,0.0639,0.0528,0.3783,-0.0734,0.2486,-2.6408,0.0229,0.0797,0.2396,0.167,-1.0368,-7646.9819,-0.5688,-3.8621,-1.0611,-3.6939
8,p_r2,0.003,0.493,0.088,0.007,0.356,0.234,0.277,0.433,0.093,0.599,0.099,0.58,0.138,0.003,0.047,0.133,0.007,0.237,0.276,0.707,0.281,0.754,0.714,0.049,0.002,0.002,0.017,0.667,0.63,0.018,0.0,0.948,0.005,0.0,0.005,0.45,0.091,0.203,0.181,0.004,0.215,0.179,0.002,0.638,0.042,0.77,0.458,0.136,0.023,0.056,0.339,0.992,0.085,0.505,0.012,0.663
9,sig_r2,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No
